"Материал","Порядок","Трек","Модуль","Тип","Обязательно","Статус","Путь в архиве","Мои заметки"
"Глава 6. Миграции при deployment","187","Обязательный путь","Часть 16","Глава","Да","Не начато","course/part-16-docker-cicd-production/06-migrations-deployment.md",""
"Глава 7. GitHub Actions CI","188","Обязательный путь","Часть 16","Глава","Да","Не начато","course/part-16-docker-cicd-production/07-github-actions-ci.md",""
"Глава 8. CD backend и EAS mobile releases","189","Обязательный путь","Часть 16","Глава","Да","Не начато","course/part-16-docker-cicd-production/08-cd-eas-builds.md",""
"Глава 9. Rollout, rollback и feature flags","190","Обязательный путь","Часть 16","Глава","Да","Не начато","course/part-16-docker-cicd-production/09-release-rollback-feature-flags.md",""
"Глава 10. Итоговая лабораторная: staging и production deployment","191","Обязательный путь","Часть 16","Глава","Да","Не начато","course/part-16-docker-cicd-production/10-final-staging-production-lab.md",""
"Часть 17. Наблюдаемость и эксплуатация","192","Обязательный путь","Часть 17","Оглавление части","Да","Не начато","course/part-17-observability-operations/README.md",""
"Глава 1. Модель наблюдаемости и сигналы","193","Обязательный путь","Часть 17","Глава","Да","Не начато","course/part-17-observability-operations/01-observability-model.md",""
"Глава 2. Structured logs, request ID и job ID","194","Обязательный путь","Часть 17","Глава","Да","Не начато","course/part-17-observability-operations/02-structured-logs-correlation.md",""
"Глава 3. Метрики, типы и cardinality","195","Обязательный путь","Часть 17","Глава","Да","Не начато","course/part-17-observability-operations/03-metrics-cardinality.md",""
"Глава 4. Трассировка с OpenTelemetry","196","Обязательный путь","Часть 17","Глава","Да","Не начато","course/part-17-observability-operations/04-traces-opentelemetry.md",""
"Глава 5. Sentry, releases и mobile crashes","197","Обязательный путь","Часть 17","Глава","Да","Не начато","course/part-17-observability-operations/05-sentry-releases-mobile.md",""
"Глава 6. SLI, SLO и error budget","198","Обязательный путь","Часть 17","Глава","Да","Не начато","course/part-17-observability-operations/06-sli-slo-error-budgets.md",""
"Глава 7. Freshness данных, очереди и workers","199","Обязательный путь","Часть 17","Глава","Да","Не начато","course/part-17-observability-operations/07-data-freshness-queues.md",""
"Глава 8. Dashboards и предупреждения","200","Обязательный путь","Часть 17","Глава","Да","Не начато","course/part-17-observability-operations/08-alerts-dashboards.md",""
"Глава 9. Инциденты, runbooks и восстановление","201","Обязательный путь","Часть 17","Глава","Да","Не начато","course/part-17-observability-operations/09-incidents-runbooks-backup.md",""
"Глава 10. Итоговая лабораторная наблюдаемости","202","Обязательный путь","Часть 17","Глава","Да","Не начато","course/part-17-observability-operations/10-final-observability-lab.md",""
"Часть 21. Пошаговая сборка единого MVP","203","Обязательный путь","Часть 21","Оглавление части","Да","Не начато","course/part-21-guided-mvp-assembly/README.md",""
"Глава 1. Зафиксировать MVP, пользователя и коммерческий data gate","204","Обязательный путь","Часть 21","Глава","Да","Не начато","course/part-21-guided-mvp-assembly/01-scope-user-data-gate.md",""
"Глава 2. Создать production monorepo и общий контракт","205","Обязательный путь","Часть 21","Глава","Да","Не начато","course/part-21-guided-mvp-assembly/02-production-monorepo.md",""
"Глава 3. Вертикаль №1: fixture → PostgreSQL → API → mobile","206","Обязательный путь","Часть 21","Глава","Да","Не начато","course/part-21-guided-mvp-assembly/03-first-vertical-slice.md",""
"Глава 4. Вертикаль №2: разрешённый provider и ingestion","207","Обязательный путь","Часть 21","Глава","Да","Не начато","course/part-21-guided-mvp-assembly/04-provider-ingestion-slice.md",""
"Глава 5. Матчи, серии, команды, игроки и драфты","208","Обязательный путь","Часть 21","Глава","Да","Не начато","course/part-21-guided-mvp-assembly/05-core-domain-screens.md",""
"Глава 6. Мета, поиск, фильтры и freshness","209","Обязательный путь","Часть 21","Глава","Да","Не начато","course/part-21-guided-mvp-assembly/06-meta-search-freshness.md",""
"Глава 7. Steam, watchlist и уведомления","210","Обязательный путь","Часть 21","Глава","Да","Не начато","course/part-21-guided-mvp-assembly/07-auth-watchlist-notifications.md",""
"Глава 8. Quality gate, безопасность и внутренние операции","211","Обязательный путь","Часть 21","Глава","Да","Не начато","course/part-21-guided-mvp-assembly/08-quality-security-operations.md",""
"Глава 9. Beta-тестирование и release candidate","212","Обязательный путь","Часть 21","Глава","Да","Не начато","course/part-21-guided-mvp-assembly/09-beta-release-candidate.md",""
"Глава 10. Итоговая лабораторная: полностью работающий MVP","213","Обязательный путь","Часть 21","Глава","Да","Не начато","course/part-21-guided-mvp-assembly/10-complete-mvp-lab.md",""
"Часть 22. Развёртывание Dota Analyzer в AWS с нуля","214","Обязательный путь","Часть 22","Оглавление части","Да","Не начато","course/part-22-aws-production/README.md",""
"Глава 1. AWS account, MFA, доступ, регион и бюджеты","215","Обязательный путь","Часть 22","Глава","Да","Не начато","course/part-22-aws-production/01-account-security-budget.md",""
"Глава 2. Архитектура, окружения и расчёт стоимости","216","Обязательный путь","Часть 22","Глава","Да","Не начато","course/part-22-aws-production/02-architecture-environments-cost.md",""
"Глава 3. Infrastructure as Code на AWS CDK и TypeScript","217","Обязательный путь","Часть 22","Глава","Да","Не начато","course/part-22-aws-production/03-cdk-typescript-foundations.md",""
"Глава 4. Сеть, домен и HTTPS","218","Обязательный путь","Часть 22","Глава","Да","Не начато","course/part-22-aws-production/04-network-dns-tls.md",""
"Глава 5. ECR, ECS Fargate и процессы приложения","219","Обязательный путь","Часть 22","Глава","Да","Не начато","course/part-22-aws-production/05-ecr-ecs-fargate.md",""
"Глава 6. RDS PostgreSQL, миграции и восстановление","220","Обязательный путь","Часть 22","Глава","Да","Не начато","course/part-22-aws-production/06-rds-postgresql.md",""
"Глава 7. Кэш, S3, CloudFront и секреты","221","Обязательный путь","Часть 22","Глава","Да","Не начато","course/part-22-aws-production/07-cache-storage-secrets.md",""
"Глава 8. CI/CD через GitHub OIDC без постоянных AWS-ключей","222","Обязательный путь","Часть 22","Глава","Да","Не начато","course/part-22-aws-production/08-github-oidc-deployment.md",""
"Глава 9. Наблюдаемость, инциденты, масштабирование и стоимость","223","Обязательный путь","Часть 22","Глава","Да","Не начато","course/part-22-aws-production/09-operations-scaling-cost.md",""
"Глава 10. Итоговая лабораторная: staging и production в AWS","224","Обязательный путь","Часть 22","Глава","Да","Не начато","course/part-22-aws-production/10-final-aws-lab.md",""
"Часть 23. Выпуск React Native приложения в Google Play и App Store","225","Обязательный путь","Часть 23","Оглавление части","Да","Не начато","course/part-23-store-release/README.md",""
"Глава 1. Аккаунты, идентичность приложения и владение","226","Обязательный путь","Часть 23","Глава","Да","Не начато","course/part-23-store-release/01-accounts-identity-ownership.md",""
"Глава 2. Production-конфигурация и native builds","227","Обязательный путь","Часть 23","Глава","Да","Не начато","course/part-23-store-release/02-production-config-native-builds.md",""
"Глава 3. Privacy policy, support и удаление аккаунта","228","Обязательный путь","Часть 23","Глава","Да","Не начато","course/part-23-store-release/03-privacy-support-account-deletion.md",""
"Глава 4. Карточка магазина, графика и интеллектуальные права","229","Обязательный путь","Часть 23","Глава","Да","Не начато","course/part-23-store-release/04-store-listing-assets-ip.md",""
"Глава 5. Google Play Console и Android beta","230","Обязательный путь","Часть 23","Глава","Да","Не начато","course/part-23-store-release/05-google-play-android-beta.md",""
"Глава 6. App Store Connect и TestFlight","231","Обязательный путь","Часть 23","Глава","Да","Не начато","course/part-23-store-release/06-app-store-testflight.md",""
"Глава 7. EAS Build и EAS Submit","232","Обязательный путь","Часть 23","Глава","Да","Не начато","course/part-23-store-release/07-eas-build-submit.md",""
"Глава 8. Review, rollout и первые пользователи","233","Обязательный путь","Часть 23","Глава","Да","Не начато","course/part-23-store-release/08-review-rollout-support.md",""
"Глава 9. Отказы review и экстренные релизы","234","Обязательный путь","Часть 23","Глава","Да","Не начато","course/part-23-store-release/09-rejections-emergency-release.md",""
"Глава 10. Итоговая лабораторная: опубликованная beta","235","Обязательный путь","Часть 23","Глава","Да","Не начато","course/part-23-store-release/10-final-store-lab.md",""
"Часть 24. Монетизация, подписка и проверка бизнеса","236","Обязательный путь","Часть 24","Оглавление части","Да","Не начато","course/part-24-monetization-business/README.md",""
"Глава 1. Права, спрос и отсутствие гарантий","237","Обязательный путь","Часть 24","Глава","Да","Не начато","course/part-24-monetization-business/01-rights-demand-reality.md",""
"Глава 2. Интервью, landing page и проверка проблемы","238","Обязательный путь","Часть 24","Глава","Да","Не начато","course/part-24-monetization-business/02-interviews-landing-validation.md",""
"Глава 3. Модель дохода и freemium offer","239","Обязательный путь","Часть 24","Глава","Да","Не начато","course/part-24-monetization-business/03-revenue-model-freemium-offer.md",""
"Глава 4. Billing domain и серверный entitlement","240","Обязательный путь","Часть 24","Глава","Да","Не начато","course/part-24-monetization-business/04-billing-domain-entitlements.md",""
"Глава 5. Покупка и восстановление в React Native","241","Обязательный путь","Часть 24","Глава","Да","Не начато","course/part-24-monetization-business/05-react-native-in-app-purchases.md",""
"Глава 6. Apple/Google server verification и lifecycle","242","Обязательный путь","Часть 24","Глава","Да","Не начато","course/part-24-monetization-business/06-store-server-verification.md",""
"Глава 7. Цена, налоги и unit economics","243","Обязательный путь","Часть 24","Глава","Да","Не начато","course/part-24-monetization-business/07-pricing-tax-unit-economics.md",""
"Глава 8. Product analytics, privacy и эксперименты","244","Обязательный путь","Часть 24","Глава","Да","Не начато","course/part-24-monetization-business/08-product-analytics-experiments.md",""
"Глава 9. 90-дневный go-to-market и support","245","Обязательный путь","Часть 24","Глава","Да","Не начато","course/part-24-monetization-business/09-go-to-market-90-days.md",""
"Глава 10. Итоговая лабораторная: первый коммерческий эксперимент","246","Обязательный путь","Часть 24","Глава","Да","Не начато","course/part-24-monetization-business/10-final-commercial-lab.md",""
"Финальная аттестация. Фильтр меты по tournament tier","247","Аттестация","Финальный проект","Глава","Да","Не начато","course/02-final-assessment.md",""
"Выпускной проект: от пустой папки до работающего продукта","248","Аттестация","Финальный проект","Глава","Да","Не начато","course/04-commercial-graduation-project.md",""
"Часть 18. Продвинутый replay pipeline на Java и Clarity","249","Необязательное углубление","Часть 18","Оглавление части","Нет","Не начато","course/part-18-replay-clarity/README.md",""
"Глава 1. Граница replay-функции, источники и риски","250","Необязательное углубление","Часть 18","Глава","Нет","Не начато","course/part-18-replay-clarity/01-replay-scope-sources.md",""
"Глава 2. Java, Gradle и отдельный parser service","251","Необязательное углубление","Часть 18","Глава","Нет","Не начато","course/part-18-replay-clarity/02-java-gradle-service.md",""
"Глава 3. Clarity: event model и минимальный parser","252","Необязательное углубление","Часть 18","Глава","Нет","Не начато","course/part-18-replay-clarity/03-clarity-event-model.md",""
"Глава 4. Object storage, очередь и state machine","253","Необязательное углубление","Часть 18","Глава","Нет","Не начато","course/part-18-replay-clarity/04-storage-queue-state-machine.md",""
"Глава 5. Версии parser/schema и выходной manifest","254","Необязательное углубление","Часть 18","Глава","Нет","Не начато","course/part-18-replay-clarity/05-parser-schema-output.md",""
"Глава 6. Combat log и нормализация событий","255","Необязательное углубление","Часть 18","Глава","Нет","Не начато","course/part-18-replay-clarity/06-combat-log.md",""
"Глава 7. Позиции и heatmap","256","Необязательное углубление","Часть 18","Глава","Нет","Не начато","course/part-18-replay-clarity/07-positions-heatmaps.md",""
"Глава 8. Повреждённые replays, лимиты и изоляция","257","Необязательное углубление","Часть 18","Глава","Нет","Не начато","course/part-18-replay-clarity/08-corrupted-replays-security.md",""
"Глава 9. Golden replays, тесты и обновление Clarity","258","Необязательное углубление","Часть 18","Глава","Нет","Не начато","course/part-18-replay-clarity/09-golden-replays-testing.md",""
"Глава 10. Итоговая лабораторная replay pipeline","259","Необязательное углубление","Часть 18","Глава","Нет","Не начато","course/part-18-replay-clarity/10-final-replay-lab.md",""
"Часть 19. Масштабирование аналитики с ClickHouse","260","Необязательное углубление","Часть 19","Оглавление части","Нет","Не начато","course/part-19-clickhouse-scaling/README.md",""
"Глава 1. Когда ClickHouse действительно нужен","261","Необязательное углубление","Часть 19","Глава","Нет","Не начато","course/part-19-clickhouse-scaling/01-when-clickhouse.md",""
"Глава 2. Граница OLTP и OLAP","262","Необязательное углубление","Часть 19","Глава","Нет","Не начато","course/part-19-clickhouse-scaling/02-oltp-olap-boundary.md",""
"Глава 3. Контракт и схема аналитических событий","263","Необязательное углубление","Часть 19","Глава","Нет","Не начато","course/part-19-clickhouse-scaling/03-event-model-schema.md",""
"Глава 4. MergeTree, ключ сортировки и партиционирование","264","Необязательное углубление","Часть 19","Глава","Нет","Не начато","course/part-19-clickhouse-scaling/04-mergetree-order-partition.md",""
"Глава 5. Пакетная загрузка, повторная доставка и идемпотентность","265","Необязательное углубление","Часть 19","Глава","Нет","Не начато","course/part-19-clickhouse-scaling/05-ingestion-idempotency.md",""
"Глава 6. Колоночные запросы для Dota 2","266","Необязательное углубление","Часть 19","Глава","Нет","Не начато","course/part-19-clickhouse-scaling/06-columnar-queries.md",""
"Глава 7. Materialized Views и предварительные агрегаты","267","Необязательное углубление","Часть 19","Глава","Нет","Не начато","course/part-19-clickhouse-scaling/07-materialized-views-preaggregation.md",""
"Глава 8. Миграция, shadow read и безопасное переключение","268","Необязательное углубление","Часть 19","Глава","Нет","Не начато","course/part-19-clickhouse-scaling/08-migration-dual-read.md",""
"Глава 9. Нагрузочные испытания и эксплуатация","269","Необязательное углубление","Часть 19","Глава","Нет","Не начато","course/part-19-clickhouse-scaling/09-load-testing-operations.md",""
"Глава 10. Итоговая лабораторная: аналитика на большом наборе событий","270","Необязательное углубление","Часть 19","Глава","Нет","Не начато","course/part-19-clickhouse-scaling/10-final-clickhouse-lab.md",""
"Часть 20. Прогнозирование профессиональных матчей и ML","271","Необязательное углубление","Часть 20","Оглавление части","Нет","Не начато","course/part-20-ml-predictions/README.md",""
"Глава 1. Задача, цель и точный момент прогноза","272","Необязательное углубление","Часть 20","Глава","Нет","Не начато","course/part-20-ml-predictions/01-problem-and-prediction-time.md",""
"Глава 2. Point-in-time dataset и утечка будущего","273","Необязательное углубление","Часть 20","Глава","Нет","Не начато","course/part-20-ml-predictions/02-point-in-time-dataset-leakage.md",""
"Глава 3. Python-окружение, данные и простые baseline-модели","274","Необязательное углубление","Часть 20","Глава","Нет","Не начато","course/part-20-ml-predictions/03-python-environment-baselines.md",""
"Глава 4. Временные разбиения и честные метрики","275","Необязательное углубление","Часть 20","Глава","Нет","Не начато","course/part-20-ml-predictions/04-time-splits-metrics.md",""
"Глава 5. Elo и Glicko для рейтинга команд","276","Необязательное углубление","Часть 20","Глава","Нет","Не начато","course/part-20-ml-predictions/05-elo-glicko.md",""
"Глава 6. Логистическая регрессия","277","Необязательное углубление","Часть 20","Глава","Нет","Не начато","course/part-20-ml-predictions/06-logistic-regression.md",""
"Глава 7. Градиентный бустинг и контролируемое усложнение","278","Необязательное углубление","Часть 20","Глава","Нет","Не начато","course/part-20-ml-predictions/07-gradient-boosting.md",""
"Глава 8. Калибровка вероятностей и drift","279","Необязательное углубление","Часть 20","Глава","Нет","Не начато","course/part-20-ml-predictions/08-calibration-drift.md",""
"Глава 9. Публикация модели, serving и мониторинг","280","Необязательное углубление","Часть 20","Глава","Нет","Не начато","course/part-20-ml-predictions/09-model-serving-monitoring.md",""
"Глава 10. Итоговая лабораторная: честный прогнозный baseline","281","Необязательное углубление","Часть 20","Глава","Нет","Не начато","course/part-20-ml-predictions/10-final-ml-lab.md",""
"Отчёт о полноте и проверке курса","282","Обязательный путь","Ориентация","Инструкция/справочник","Да","Не начато","QUALITY-REPORT.md",""
